"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.426550375E0,8.391549683E-1,1.151106262E-1,1.053434372E1,1.056834089E1
1.436582375E0,-6.261479187E-1,3.143463135E-1,9.224866791E0,9.251434598E0
1.446614375E0,4.872367859E-1,1.697470093E-1,1.030726593E1,1.032017174E1
1.456646375E0,-4.204756165E-1,3.002755737E-1,9.357940063E0,9.372193308E0
1.466677375E0,3.204835510E-1,2.046244812E-1,1.000309845E1,1.001032265E1
1.476709375E0,-2.219883728E-1,2.752775574E-1,9.665251007E0,9.671718234E0
1.486741375E0,1.637594604E-1,2.368075562E-1,9.946815491E0,9.950981529E0
1.496773375E0,-1.589694214E-1,2.627037048E-1,9.603130188E0,9.608037985E0
1.506804375E0,1.327738953E-1,2.374063110E-1,9.912087708E0,9.915819350E0
1.516836375E0,-7.140151978E-2,2.582130432E-1,9.792636108E0,9.796300021E0
1.526868375E0,5.493576050E-2,2.377056885E-1,9.781708832E0,9.784750871E0
1.536899375E0,-1.616638184E-2,2.630030823E-1,9.730664978E0,9.734232013E0
1.546931375E0,6.691085815E-2,2.489323425E-1,9.904902649E0,9.908256197E0
1.556963375E0,9.729766846E-3,2.514770508E-1,9.838889923E0,9.842108021E0
1.566995375E0,2.095642090E-2,2.562670898E-1,9.710756378E0,9.714159842E0
1.577026375E0,6.481521606E-2,2.622546387E-1,9.870923309E0,9.874619258E0
1.587058375E0,2.439926147E-2,2.489323425E-1,9.936786346E0,9.939933880E0
1.597090375E0,2.409988403E-2,2.501298523E-1,9.735005951E0,9.738248642E0
1.607122375E0,2.978805542E-2,2.537223816E-1,9.761051788E0,9.764394215E0
1.617153375E0,7.738906860E-2,2.372566223E-1,9.957593079E0,9.960719838E0
1.627185375E0,-1.002914429E-2,2.411485291E-1,9.839189301E0,9.842149119E0
1.637217375E0,2.290237427E-2,2.402503967E-1,9.749675446E0,9.752661999E0
1.647248375E0,2.933898926E-2,2.333647156E-1,9.807455292E0,9.810275183E0
1.657280375E0,3.667373657E-2,2.399510193E-1,9.887688446E0,9.890667534E0
1.667312375E0,-2.140548706E-2,2.475851440E-1,9.762548676E0,9.765711098E0
1.677344375E0,1.916015625E-2,2.543211365E-1,9.720037079E0,9.723382496E0
1.687375375E0,3.338058472E-2,2.420466614E-1,9.868677979E0,9.871702279E0
1.697407375E0,7.484436035E-4,2.498304749E-1,9.853709106E0,9.856875721E0
1.707439375E0,-6.586303711E-3,2.472857666E-1,9.678872681E0,9.682033361E0
1.717471375E0,2.409988403E-2,2.417472839E-1,9.729018402E0,9.732051255E0
1.727502375E0,3.592529297E-2,2.550695801E-1,9.880353699E0,9.883710858E0
1.737534375E0,-4.490661621E-3,2.453398132E-1,9.859247589E0,9.862300686E0
1.747566375E0,-2.395019531E-3,2.130070496E-1,9.638157349E0,9.640511128E0
1.757597375E0,4.580474854E-2,2.335144043E-1,9.853110352E0,9.855983495E0
1.767629375E0,1.287322998E-2,2.383044434E-1,9.942923584E0,9.945787255E0
1.777661375E0,-9.430389404E-3,2.189945984E-1,9.733209686E0,9.735677602E0
1.787693375E0,2.020797729E-2,2.302212524E-1,9.774374084E0,9.777105857E0
1.797724375E0,3.891906738E-2,2.323168945E-1,9.927355957E0,9.930150157E0
1.807756375E0,5.388793945E-3,2.418969727E-1,9.889784088E0,9.892743426E0
1.817788375E0,1.332229614E-2,2.459385681E-1,9.782008209E0,9.785108475E0
1.827819375E0,3.697311401E-2,2.463876343E-1,9.831255798E0,9.834412257E0
1.837851375E0,2.529739380E-2,2.469863892E-1,9.914333038E0,9.917441294E0
1.847883375E0,-1.796264648E-3,2.598596191E-1,9.828112335E0,9.831547300E0
1.857915375E0,2.110610962E-2,2.586621094E-1,9.802216187E0,9.805651112E0
1.867946375E0,3.113525391E-2,2.734812927E-1,9.850565643E0,9.854410430E0
1.877978375E0,4.490661621E-4,2.737806702E-1,9.836195526E0,9.840005004E0
1.888010375E0,-2.245330811E-3,2.610571289E-1,9.723479919E0,9.726983993E0
1.898042375E0,2.963836670E-2,2.619552612E-1,9.782906342E0,9.786457760E0
1.908073375E0,2.544708252E-3,2.609074402E-1,9.851613464E0,9.855068088E0
1.918105375E0,-1.047821045E-2,2.592608643E-1,9.760453033E0,9.763901342E0
1.928137375E0,4.490661621E-3,2.609074402E-1,9.705367584E0,9.708874950E0
1.938168375E0,3.367996216E-2,2.399510193E-1,9.846823425E0,9.849804181E0
1.948200375E0,4.490661621E-3,2.399510193E-1,9.804461517E0,9.807398345E0
1.958232375E0,4.490661621E-3,2.538720703E-1,9.681716766E0,9.685045727E0
1.968264375E0,2.514770508E-2,2.674937439E-1,9.810299377E0,9.813977745E0
1.978295375E0,1.466949463E-2,2.514770508E-1,9.910441132E0,9.913642082E0
1.988327375E0,7.783813477E-3,2.647993469E-1,9.770931244E0,9.774521812E0
1.998359375E0,1.751358032E-2,2.612068176E-1,9.742041321E0,9.745558210E0
2.008391375E0,3.038681030E-2,2.538720703E-1,9.916428680E0,9.919724399E0
2.018422375E0,2.993774414E-4,2.571652222E-1,9.882748718E0,9.886094086E0
2.028454375E0,-1.347198486E-2,2.595602417E-1,9.754914551E0,9.758376448E0
2.038486375E0,2.589614868E-2,2.433938599E-1,9.826914825E0,9.829962674E0
2.048517375E0,1.092727661E-2,2.261796570E-1,9.983788605E0,9.986356270E0
2.058549375E0,-1.047821045E-2,2.442919922E-1,9.825417938E0,9.828460003E0
2.068581375E0,1.796264648E-3,2.401007080E-1,9.724976807E0,9.727940453E0
2.078613375E0,3.772155762E-2,2.480342102E-1,9.911488953E0,9.914663743E0
2.088644375E0,1.826202393E-2,2.433938599E-1,9.898016968E0,9.901025905E0
2.098676375E0,-2.694396973E-3,2.451901245E-1,9.709409180E0,9.712504933E0
2.108708375E0,3.158432007E-2,2.544708252E-1,9.761051788E0,9.764419337E0
2.118739375E0,4.296066284E-2,2.565664673E-1,9.923613739E0,9.927022797E0
2.128771375E0,4.490661621E-3,2.570155334E-1,9.807455292E0,9.810823434E0
2.138803375E0,8.981323242E-3,2.653981018E-1,9.662107544E0,9.665755998E0
2.148835375E0,5.044509888E-2,2.417472839E-1,9.822274475E0,9.825378482E0
2.158866375E0,2.978805542E-2,2.345622253E-1,9.882299652E0,9.885127879E0
2.168898375E0,-7.484436035E-4,2.538720703E-1,9.714797974E0,9.718114594E0
2.178930667E0,5.538482666E-3,2.441423035E-1,9.715845795E0,9.718914324E0
2.188962667E0,2.305206299E-2,2.427951050E-1,9.869127045E0,9.872140066E0
2.198993667E0,-1.287322998E-2,2.510279846E-1,9.832453308E0,9.835665652E0
2.209025667E0,-1.706451416E-2,2.523751831E-1,9.684261475E0,9.687564438E0
2.219057667E0,2.664459229E-2,2.517764282E-1,9.799970856E0,9.803240795E0
2.229088667E0,2.634521484E-2,2.573149109E-1,9.899214478E0,9.902593211E0
2.239120667E0,-2.245330811E-3,2.650987244E-1,9.761500854E0,9.765100169E0
2.249152667E0,1.047821045E-3,2.546205139E-1,9.733059998E0,9.736389969E0
2.259184667E0,3.487747192E-2,2.559677124E-1,9.912237396E0,9.915603164E0
2.269215667E0,2.544708252E-3,2.579136658E-1,9.886041870E0,9.889405937E0
2.279247667E0,-1.377136230E-2,2.395019531E-1,9.679770813E0,9.682743094E0
2.289279667E0,3.667373657E-2,2.555186462E-1,9.851164398E0,9.854545892E0
2.299310667E0,3.921844482E-2,2.439926147E-1,9.954748993E0,9.957815925E0
2.309342667E0,5.239105225E-3,2.508782959E-1,9.797725525E0,9.800938365E0
2.319374667E0,1.347198486E-2,2.496807861E-1,9.709409180E0,9.712628306E0
2.329406667E0,6.616241455E-2,2.631527710E-1,9.870623932E0,9.874352822E0
2.339437667E0,4.819976807E-2,2.785707092E-1,9.901459808E0,9.905495000E0
2.349469667E0,1.317260742E-2,2.742297363E-1,9.748477936E0,9.752343182E0
2.359501667E0,3.427871704E-2,2.636018372E-1,9.760303345E0,9.763922487E0
